experiment,property,metric,value
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_gamma,0.024482136371086618
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_stress,0.005203764712888088
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_SH1,0.003142462700980179
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_SH2,0.009120751312168482
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_stress_MPa,0.005203764712888088
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_mean_stress_proxy,0.006395003407821005
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_differential_stress,-0.011015114579551734
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_stress_ratio,-0.012666526501233672
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_stress_anisotropy_index,-0.01258448143797514
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_pore_pressure_MPa,-0.0012029124778554093
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_vertical_stress_Sv_MPa,-0.0012029115590311717
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_effective_pressure_physical_MPa,-0.0012029105442870455
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_overpressure_ratio,9.753996022621492e-05
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_effective_pressure_ratio,-0.013660494570327945
Exp-3_no_stress_seismic_soft_data,runtime,seconds,2.30876868031919
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,mean,-0.004945424385368824
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,std,0.037871524691581726
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,p10,-0.05255524069070816
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,p50,-0.0050743864849209785
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,p90,0.042885567992925644
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,facies_separability_fisher,0.02560763473385117
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_porosity,-0.06823348949173764
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_oil_saturation,0.05646980797635593
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_brittleness_index,-0.05642015617525846
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_permeability,-0.0892665402783601
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_gamma,0.09429299225643085
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_stress,0.13480008964680693
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_SH1,-0.026153072096687994
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_SH2,-0.07175344524460214
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_stress_MPa,0.13480008964680693
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_mean_stress_proxy,-0.05104949258688331
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_differential_stress,0.08406744335406767
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_stress_ratio,0.09403668956605056
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_stress_anisotropy_index,0.09428387936283461
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_pore_pressure_MPa,-0.22978632214086253
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_vertical_stress_Sv_MPa,-0.22978632179266
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_effective_pressure_physical_MPa,-0.22978633127643525
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_overpressure_ratio,-0.022453581824923918
Exp-4_stress_aware_seismic_soft_data,poststack_seismic,corr_with_effective_pressure_ratio,-0.007367685107925192
Exp-4_stress_aware_seismic_soft_data,AVO_intercept,mean,-0.0008585741161368787
Exp-4_stress_aware_seismic_soft_data,AVO_intercept,std,0.01861458458006382
Exp-4_stress_aware_seismic_soft_data,AVO_intercept,p10,0.0
Exp-4_stress_aware_seismic_soft_data,AVO_intercept,p50,0.0
Exp-4_stress_aware_seismic_soft_data,AVO_intercept,p90,0.0
Exp-4_stress_aware_seismic_soft_data,AVO_intercept,facies_separability_fisher,0.002995473048572854
